Scenario,ID_Bits,Fold,Training_Indices,Authentication_Index,Devices,Enrollment_Rows,Fit_Seconds,First_5_Fraction_Of_Retained_Kernel_Eigenvalues,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient
Single-sweep,128,enroll_3_test_4,3,4,295,295,0.12958599999547005,0.6077893092978972,36.833525085387656,86730,295,0.0,8.204571144249204,0.014883474576271176,0.04033031770353209,1.2372881355932204,0.009666313559322034,3.340836706528574,0,53,0.0,1.0,3.3000000000000114,295,64.10012683039318,0.5007822408624467,5.368124139591573,22,90,55.0,64.0,72.0,86730,14,0.0,0.006779661016949152,0.0033783004727314654,44,0.001694915254237288,16,0.003389830508474576
Single-sweep,128,enroll_3_test_5,3,5,295,295,0.10888519999571145,0.6077893092978972,38.26988711775581,86730,295,0.0,8.204571144249204,0.014883474576271176,0.04033031770353209,1.6033898305084746,0.012526483050847458,3.4367940141670696,0,53,0.0,1.0,4.0,295,64.09862792574657,0.5007705306698951,5.367632075159779,21,90,55.0,64.0,72.0,86730,14,0.0,0.003389830508474576,0.0034186555978323535,44,0.001694915254237288,13,0.003389830508474576
Single-sweep,128,enroll_4_test_1,4,1,295,295,0.12371800001710653,0.6079493560515118,40.08561254269838,86730,295,0.0,8.204571144249204,0.016551906779661008,0.04025813386856789,3.776271186440678,0.029502118644067796,4.079663309064049,0,44,0.0,3.0,10.0,295,64.07660555747722,0.5005984809177908,5.376775907172153,23,90,55.0,64.0,72.0,86730,14,0.0,0.020338983050847456,0.002917099043007033,43,0.001493139628732849,44,0.0005419116799262077
Single-sweep,128,enroll_4_test_2,4,2,295,295,0.1006893000449054,0.6079493560515118,39.466458305882256,86730,295,0.0,8.204571144249204,0.016551906779661008,0.04025813386856789,2.535593220338983,0.019809322033898305,4.767155297437441,0,47,0.0,2.0,6.0,295,64.08608324685807,0.5006725253660786,5.380544799545899,22,90,55.0,64.0,73.0,86730,14,0.0,0.013559322033898305,0.0032341750259425803,44,0.0030496944540528074,47,0.0026173181136861525
Single-sweep,128,enroll_4_test_3,4,3,295,295,0.09697209997102618,0.6079493560515118,40.694386443375784,86730,295,0.0,8.204571144249204,0.016551906779661008,0.04025813386856789,1.5457627118644068,0.012076271186440678,3.159658663316798,0,49,0.0,1.0,4.0,295,64.08237057534879,0.5006435201199124,5.3828118087732895,22,87,55.0,64.0,73.0,86730,14,0.0,0.003389830508474576,0.0035512510088781275,45,0.001694915254237288,14,0.002052346362273723
Single-sweep,128,enroll_4_test_5,4,5,295,295,0.11507349996827543,0.6079493560515118,41.37485762623975,86730,295,0.0,8.204571144249204,0.016551906779661008,0.04025813386856789,1.230508474576271,0.009613347457627118,1.5499894927543947,0,15,0.0,1.0,4.0,295,64.0902109996541,0.5007047734347977,5.37325482516785,22,88,55.0,64.0,73.0,86730,14,0.0,0.003389830508474576,0.0,15,0.0,15,0.0
Single-sweep,128,enroll_5_test_1,5,1,295,295,0.09582650003721938,0.6081116251690069,39.61868949226593,86730,295,0.0,8.204571144249204,0.01583686440677965,0.040596933381804985,4.196610169491525,0.03278601694915254,3.995999960066142,0,39,0.0,3.0,12.0,295,64.08772051193358,0.5006853164994811,5.384008085376106,21,90,55.0,64.0,73.0,86730,14,0.0,0.020338983050847456,0.0005130865905684308,39,0.0005130865905684308,39,0.00023060071486221607
Single-sweep,128,enroll_5_test_2,5,2,295,295,0.11014770000474527,0.6081116251690069,38.48328949149572,86730,295,0.0,8.204571144249204,0.01583686440677965,0.040596933381804985,2.9457627118644067,0.023013771186440678,4.860339355537411,0,48,0.0,2.0,7.300000000000011,295,64.09037242015451,0.5007060345324571,5.389242763487299,21,90,55.0,64.0,73.0,86730,14,0.0,0.01694915254237288,0.004173872939006111,46,0.0038683269918136746,48,0.002674968292401707
Single-sweep,128,enroll_5_test_3,5,3,295,295,0.2652180000441149,0.6081116251690069,36.69321796525333,86730,295,0.0,8.204571144249204,0.01583686440677965,0.040596933381804985,1.8,0.0140625,3.5634195913017974,0,55,0.0,1.0,5.0,295,64.09129482301395,0.5007132408047965,5.391201599168646,21,90,55.0,64.0,73.0,86730,14,0.0,0.006779661016949152,0.0032399400438141357,44,0.001694915254237288,15,0.003389830508474576
Single-sweep,128,enroll_5_test_4,5,4,295,295,0.10537810000823811,0.6081116251690069,33.81910677841407,86730,295,0.0,8.204571144249204,0.01583686440677965,0.040596933381804985,1.2,0.009375,1.506448723024465,0,11,0.0,1.0,4.0,295,64.09032630001153,0.50070567421884,5.384262669361587,20,90,55.0,64.0,73.0,86730,14,0.0,0.0,0.0,11,0.0,11,0.0
Multi-sweep,128,test_1,"2,3,4,5",1,295,1180,1.4600961999967694,0.6092418523104781,38.06997050681167,86730,295,0.0,8.204571144249204,0.01631355932203389,0.04014429818067138,3.3322033898305086,0.026032838983050848,3.3873735475038185,0,29,0.0,2.0,10.0,295,64.08112533148852,0.5006337916522541,5.3740905805375245,21,92,55.0,64.0,72.0,86730,14,0.0,0.01694915254237288,5.765017871555402e-05,29,5.765017871555402e-05,29,2.3060071486221608e-05
Multi-sweep,128,test_2,"1,3,4,5",2,295,1180,1.5583233999786898,0.6088389596241519,37.951600339097936,86730,295,0.0,8.204571144249204,0.016525423728813556,0.040224849795048784,1.6847457627118645,0.013162076271186441,4.251322865722261,0,43,0.0,1.0,4.0,295,64.08661362850225,0.5006766689726738,5.371260074179477,23,91,55.0,64.0,72.0,86730,14,0.0,0.010169491525423728,0.0027268534532457053,42,0.00129136400322841,43,0.0010377032168799724
Multi-sweep,128,test_3,"1,2,4,5",3,295,1180,1.6673143999651074,0.6093708949761066,38.49345186500321,86730,295,0.0,8.204571144249204,0.0158103813559322,0.040678566785195575,1.5016949152542374,0.01173199152542373,3.504006041944115,0,54,0.0,1.0,4.0,295,64.08225527499135,0.50064261933587,5.387731576948929,18,91,55.0,64.0,73.0,86730,14,0.0,0.006779661016949152,0.0033321803297590223,44,0.001694915254237288,15,0.003389830508474576
Multi-sweep,128,test_4,"1,2,3,5",4,295,1180,1.5413842999842018,0.6093965515504406,38.2052972865433,86730,295,0.0,8.204571144249204,0.016287076271186432,0.040235947993572434,1.8203389830508474,0.014221398305084745,2.197306612033167,0,17,0.0,1.0,5.0,295,64.084515161997,0.5006602747031016,5.369951693059453,19,91,55.0,64.0,72.0,86730,14,0.0,0.010169491525423728,0.0,17,0.0,17,0.0
Multi-sweep,128,test_5,"1,2,3,4",5,295,1180,1.556228999979794,0.6093526580355318,39.61872881203416,86730,295,0.0,8.204571144249204,0.01578389830508474,0.04032588441442721,2.0983050847457627,0.01639300847457627,2.285825259614362,0,14,0.0,2.0,6.0,295,64.09152542372881,0.5007150423728813,5.384653564736274,23,90,55.0,64.0,72.0,86730,14,0.0,0.0,0.0,14,0.0,14,0.0
