Scenario,Cohort_Protocol,ID_Bits,Fold,Training_Indices,Authentication_Index,PCA_Training_Devices,Template_Devices,Enrollment_Rows,PCA_Training_Rows,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Variance_Explained_By_ID_Components,Intra_Mean,Intra_Mean_Normalized,Intra_Std_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER_Threshold,Descriptive_EER,Minimum_Balanced_Error_Threshold,Minimum_Balanced_Error,Empirical_Overlap_Coefficient,Separation_Score,D_Prime
Single-sweep,enrolled_cohort,128,enroll_1_test_2,1,2,295,295,295,295,2.2924333999981172,1.1421793227289188,86730,0.9964280412304827,4.979661016949152,0.03890360169491525,0.022218316370239632,2.843944495390673,0.0,1.0,4.0,10.0,21.0,295,64.12221837887698,0.5009548310849764,0.04092106489358671,5.237896306379099,39.0,55.0,64.0,73.0,86.0,86730,14,0.0,0.010169491525423728,21,0.0,21,0.0,0.0,59.14255736192783,14.033201022227534
Single-sweep,enrolled_cohort,128,enroll_1_test_3,1,3,295,295,295,295,2.8683920000330545,1.1458955955754777,86730,0.9964280412304827,5.688135593220339,0.044438559322033895,0.0260362523917357,3.3326403061421694,0.0,1.0,5.0,12.0,27.0,295,64.12528536838464,0.500978791940505,0.04086597958947376,5.230845387452641,39.0,55.0,64.0,73.0,88.0,86730,14,0.0,0.020338983050847456,27,0.0,27,0.0,0.0,58.4371497751643,13.32456051937364
Single-sweep,enrolled_cohort,128,enroll_1_test_4,1,4,295,295,295,295,3.007912300003227,1.191657287723748,86730,0.9964280412304827,6.244067796610169,0.04878177966101695,0.026577295231494755,3.4018937896313286,0.0,2.0,6.0,12.0,24.0,295,64.12835235789231,0.5010027527960337,0.04090901356294857,5.236353736057417,39.0,55.0,64.0,73.0,87.0,86730,14,0.0,0.03389830508474576,24,0.0,24,0.0,0.0,57.88428456128214,13.109506475135495
Single-sweep,enrolled_cohort,128,enroll_1_test_5,1,5,295,295,295,295,2.7154338999534957,1.1861216947752036,86730,0.9964280412304827,6.4271186440677965,0.05021186440677966,0.028139548903608223,3.6018622596618526,0.0,2.0,6.0,13.300000000000011,22.0,295,64.13178830854376,0.5010295961604981,0.04097948805743648,5.2453744713518695,38.0,55.0,64.0,73.0,87.0,86730,14,0.0,0.03389830508474576,22,0.0,22,0.0,0.0,57.704669664475965,12.825260650790533
Single-sweep,enrolled_cohort,128,enroll_2_test_1,2,1,295,295,295,295,2.242100899980869,1.1105488145218816,86730,0.9964835540520164,4.8474576271186445,0.03787076271186441,0.022182115449215983,2.8393107774996458,0.0,1.0,4.0,10.0,18.0,295,64.14278796264269,0.501115530958146,0.040771561256008684,5.218759840769112,38.0,56.0,64.0,73.0,87.0,86730,14,0.0,0.006779661016949152,18,0.0,18,0.0,0.0,59.29533033552404,14.11450760799644
Single-sweep,enrolled_cohort,128,enroll_2_test_3,2,3,295,295,295,295,2.39348719996633,1.2119064399562145,86730,0.9964835540520164,4.230508474576271,0.03305084745762712,0.023816754318528973,3.0485445527717085,0.0,0.7000000000000011,4.0,10.0,31.0,295,64.14165801913985,0.5011067032745301,0.04072346076312101,5.212602977679489,38.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.006779661016949152,31,0.0,31,0.0,0.0,59.911149544563585,14.030896234835733
Single-sweep,enrolled_cohort,128,enroll_2_test_4,2,4,295,295,295,295,2.397111800033599,1.1681335601340033,86730,0.9964835540520164,4.708474576271186,0.03678495762711864,0.023923743713824618,3.062239195369551,0.0,1.0,4.0,9.300000000000011,31.0,295,64.14299550328606,0.5011171523694223,0.04068015708717957,5.207060107158985,38.0,56.0,64.0,73.0,84.0,86730,14,0.0,0.006779661016949152,31,0.0,31,0.0,0.0,59.43452092701487,13.914325800322233
Single-sweep,enrolled_cohort,128,enroll_2_test_5,2,5,295,295,295,295,2.6376232000184245,1.1274566120168164,86730,0.9964835540520164,4.654237288135593,0.03636122881355932,0.025387996999781247,3.2496636159719996,0.0,1.0,4.0,10.0,30.0,295,64.14251124178485,0.5011133690764441,0.040781423233889606,5.22002217393787,38.0,56.0,64.0,73.0,85.0,86730,14,0.0,0.010169491525423728,30,0.0,30,0.0,0.0,59.488273953649255,13.681984234800312
Single-sweep,enrolled_cohort,128,enroll_3_test_1,3,1,295,295,295,295,2.2768482000101358,1.1232786452776546,86730,0.9964840970564388,5.569491525423729,0.04351165254237288,0.02768639116347459,3.5438580689247474,0.0,1.0,5.0,12.0,26.0,295,64.15030554594719,0.5011742620777124,0.04078340816785386,5.2202762454852945,37.0,55.0,64.0,73.0,84.0,86730,14,0.0,0.013559322033898305,26,0.0,26,0.0,0.0,58.58081402052346,13.130254484536717
Single-sweep,enrolled_cohort,128,enroll_3_test_2,3,2,295,295,295,295,2.3893509000190534,1.1681728804941778,86730,0.9964840970564388,4.2,0.0328125,0.024397501823713332,3.1228802334353065,0.0,1.0,4.0,9.300000000000011,28.0,295,64.1527960336677,0.5011937190130289,0.04074394715430267,5.215225235750742,39.0,56.0,64.0,73.0,83.0,86730,14,0.0,0.006779661016949152,28,0.0,28,0.0,0.0,59.952796033667695,13.947989288113233
Single-sweep,enrolled_cohort,128,enroll_3_test_4,3,4,295,295,295,295,2.120727999950759,1.6081101707009189,86730,0.9964840970564388,3.7966101694915255,0.029661016949152543,0.019297585092865336,2.470090891886763,0.0,1.0,3.0,8.0,17.0,295,64.15171221030785,0.5011852516430301,0.04076482951843197,5.217898178359293,36.0,55.0,64.0,73.0,87.0,86730,14,0.0,0.003389830508474576,17,0.0,17,0.0,0.0,60.35510204081633,14.78514524558972
Single-sweep,enrolled_cohort,128,enroll_3_test_5,3,5,295,295,295,295,2.2805737999733537,1.568549489247281,86730,0.9964840970564388,4.2101694915254235,0.03289194915254237,0.02087466084935602,2.6719565887175705,0.0,1.0,4.0,9.0,19.0,295,64.15049002651908,0.5011757033321803,0.04074405646435426,5.215239227437345,37.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.003389830508474576,19,0.0,19,0.0,0.0,59.94032053499366,14.465921500737226
