Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",8,0.013100527313815242,0.8071053875277312
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",9,0.011748827736424166,0.8188542152641554
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",10,0.011116038870466126,0.8299702541346214
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",11,0.009160404466434678,0.8391306586010561
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",12,0.008451399407419556,0.8475820580084756
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",13,0.007617193697254655,0.8551992517057303
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",14,0.007271664796823005,0.8624709165025533
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",15,0.006390348075974267,0.8688612645785275
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",16,0.006337385889414028,0.8751986504679415
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",17,0.0060150983768521285,0.8812137488447936
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",18,0.00556618258882247,0.8867799314336161
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",19,0.004915983360772861,0.8916959147943889
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",20,0.004591260913197637,0.8962871757075865
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",21,0.004172198360118546,0.900459374067705
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",22,0.003759309518024765,0.9042186835857298
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",23,0.003411201634369953,0.9076298852200997
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",24,0.0032765130668556083,0.9109063982869553
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",25,0.0031318583758973726,0.9140382566628527
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",26,0.0028706955799482022,0.9169089522428009
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",27,0.002812238974299811,0.9197211912171007
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",28,0.0026294455452166806,0.9223506367623174
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",29,0.0025515179936705617,0.924902154755988
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",30,0.0024574331338448464,0.9273595878898329
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",31,0.002356818300697987,0.9297164061905309
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",32,0.0020912702829838413,0.9318076764735147
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",33,0.0020255175760317576,0.9338331940495465
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",34,0.0020102269672937737,0.9358434210168403
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",35,0.0018666831147878572,0.9377101041316281
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",36,0.0017496218634705843,0.9394597259950987
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",37,0.0017106364144422804,0.941170362409541
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",38,0.0016221797104668675,0.9427925421200078
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",39,0.001545961062623857,0.9443385031826317
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",40,0.001526153947567762,0.9458646571301994
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",41,0.001424306774449432,0.9472889639046488
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",42,0.0013609757105522999,0.948649939615201
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",43,0.001347741195888908,0.9499976808110899
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",44,0.001289212876496705,0.9512868936875867
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",45,0.0012661241889656795,0.9525530178765523
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",46,0.0012266317196672066,0.9537796495962195
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",47,0.001139364098590614,0.9549190136948101
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",48,0.001098155045827968,0.9560171687406381
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",49,0.0010493979742482217,0.9570665667148863
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",50,0.0010103513527657058,0.958076918067652
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",51,0.0009988818099151112,0.9590757998775672
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",52,0.0009617233812428398,0.96003752325881
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",53,0.0009478770783124277,0.9609854003371224
