Scenario,Cohort_Protocol,ID_Bits,Fold,Bit_Block,Block_Bits,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,D_Prime
Single-sweep,enrolled_cohort,128,enroll_3_test_4,65-128,64,2.7322033898305085,0.042690677966101695,1.875227031875582,0.0,11.0,32.07457627118644,0.5011652542372881,3.8322069738495985,14.0,47.0,9.72629089155403
Single-sweep,enrolled_cohort,128,enroll_3_test_5,1-64,64,1.230508474576271,0.019226694915254236,1.3252203304536438,0.0,9.0,32.074115069756715,0.5011580479649487,3.8775989177360453,15.0,49.0,10.644595659532763
Single-sweep,enrolled_cohort,128,enroll_3_test_5,65-128,64,2.9796610169491524,0.04655720338983051,2.020202359115164,0.0,10.0,32.076374956762365,0.501193358699412,3.830823376553862,16.0,50.0,9.501319146411666
Single-sweep,enrolled_cohort,128,enroll_4_test_1,1-64,64,2.301694915254237,0.035963983050847456,2.220918753734216,0.0,16.0,32.06788885045544,0.5010607632883662,3.888865149596087,15.0,49.0,9.399804619384886
Single-sweep,enrolled_cohort,128,enroll_4_test_1,65-128,64,3.8372881355932202,0.059957627118644066,2.481352104606605,0.0,16.0,32.061962412083474,0.5009681626888043,3.8421971170742837,16.0,49.0,8.727048385826766
Single-sweep,enrolled_cohort,128,enroll_4_test_2,1-64,64,1.5491525423728814,0.02420550847457627,1.7053709554520087,0.0,13.0,32.07086359967716,0.5011072437449556,3.8881389759957425,15.0,49.0,10.166587845411405
Single-sweep,enrolled_cohort,128,enroll_4_test_2,65-128,64,3.2067796610169492,0.05010593220338983,2.28897567968075,0.0,18.0,32.06090164879511,0.5009515882624236,3.8407193297128956,15.0,51.0,9.1266344660504
Single-sweep,enrolled_cohort,128,enroll_4_test_3,1-64,64,1.1016949152542372,0.017213983050847457,1.2683337837016009,0.0,8.0,32.07187824282255,0.5011230975441023,3.885316955428218,14.0,48.0,10.716275591775627
Single-sweep,enrolled_cohort,128,enroll_4_test_3,65-128,64,2.7288135593220337,0.04263771186440678,1.9151251577595512,0.0,14.0,32.06200853222645,0.5009688833160383,3.8367908936452886,15.0,49.0,9.673847174207568
Single-sweep,enrolled_cohort,128,enroll_4_test_5,1-64,64,1.0169491525423728,0.015889830508474576,1.2246271878030563,0.0,8.0,32.073999769399286,0.5011562463968638,3.887327237269106,14.0,49.0,10.776481666414444
Single-sweep,enrolled_cohort,128,enroll_4_test_5,65-128,64,2.5694915254237287,0.04014830508474576,1.868395782964275,0.0,12.0,32.06265421422806,0.5009789720973135,3.839442059342985,14.0,51.0,9.76824604655494
Single-sweep,enrolled_cohort,128,enroll_5_test_1,1-64,64,2.2711864406779663,0.03548728813559322,2.111118190945749,0.0,15.0,32.06883431338637,0.501075536146662,3.891679008572043,14.0,48.0,9.518027372945022
Single-sweep,enrolled_cohort,128,enroll_5_test_1,65-128,64,3.7220338983050847,0.05815677966101695,2.441984513913619,0.0,19.0,32.06938775510204,0.5010841836734694,3.8391640950322277,16.0,48.0,8.810822415779445
Single-sweep,enrolled_cohort,128,enroll_5_test_2,1-64,64,1.688135593220339,0.026377118644067797,1.8927973706432095,0.0,14.0,32.07042545831892,0.5011003977862332,3.882965780546871,14.0,48.0,9.946687127985692
Single-sweep,enrolled_cohort,128,enroll_5_test_2,65-128,64,3.1898305084745764,0.049841101694915256,2.2688136277132505,0.0,17.0,32.0662746454514,0.5010355413351781,3.838978830156889,14.0,49.0,9.157837307619118
Single-sweep,enrolled_cohort,128,enroll_5_test_3,1-64,64,1.2101694915254237,0.018908898305084746,1.3862412983176144,0.0,9.0,32.06775049002652,0.5010586014066644,3.881611571783088,14.0,49.0,10.58762183440902
Single-sweep,enrolled_cohort,128,enroll_5_test_3,65-128,64,2.7898305084745765,0.04359110169491526,2.0076126306078748,0.0,11.0,32.06841923209962,0.5010690505015566,3.8390102865361406,16.0,49.0,9.557630945652564
Single-sweep,enrolled_cohort,128,enroll_5_test_4,1-64,64,1.040677966101695,0.016260593220338983,1.1945338435659412,0.0,7.0,32.072039663322954,0.5011256197394212,3.880955041907408,14.0,48.0,10.807427188492946
Single-sweep,enrolled_cohort,128,enroll_5_test_4,65-128,64,2.6677966101694914,0.041684322033898304,1.912582813819146,0.0,10.0,32.070702179176756,0.5011047215496368,3.8402331663172387,17.0,48.0,9.692438276302898
Single-sweep,enrolled_cohort,128,aggregate,1-64,64,1.6116949152542372,0.025182733050847457,1.755305475764141,0.0,18.0,32.069870863599675,0.5010917322437449,3.885397877330205,13.0,50.0,10.103057853889208
Single-sweep,enrolled_cohort,128,aggregate,65-128,64,3.210677966101695,0.050166843220338986,2.178939061677358,0.0,20.0,32.06857373457858,0.5010714646027903,3.8425150884205697,14.0,51.0,9.238915623019968
Multi-sweep,enrolled_cohort,128,test_1,1-64,64,1.9322033898305084,0.030190677966101694,1.820745967140726,0.0,13.0,32.072800645682,0.5011375100887813,3.885014877447836,15.0,47.0,9.934777938359844
Multi-sweep,enrolled_cohort,128,test_1,65-128,64,3.247457627118644,0.05074152542372881,2.132463358873941,0.0,12.0,32.06897267381529,0.5010776980283639,3.846303784415198,16.0,49.0,9.268026318017414
Multi-sweep,enrolled_cohort,128,test_2,1-64,64,1.1288135593220339,0.01763771186440678,1.4628100401012298,0.0,13.0,32.07944194627003,0.5012412804104692,3.8807422391705666,15.0,48.0,10.554084799441098
Multi-sweep,enrolled_cohort,128,test_2,65-128,64,2.4983050847457626,0.03903601694915254,1.768727926515348,0.0,10.0,32.06645912602329,0.5010384238441139,3.835466007834901,17.0,50.0,9.900372776814631
Multi-sweep,enrolled_cohort,128,test_3,1-64,64,1.0101694915254238,0.015783898305084747,1.2191352621844065,0.0,7.0,32.07791998155194,0.5012174997117491,3.879706324946433,15.0,48.0,10.803834024571975
