#Digilent WaveForms Impedance Analyzer - Input
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB)
57654.29533394965,18.49922338921413
57674.28025300113,18.54951101340644
57694.27209949812,18.60902187613175
57714.27087584192,18.65417818394574
57734.27658443463,18.71679967685192
57754.28922767921,18.76652335457989
57774.30880797945,18.82147148607983
57794.33532773994,18.86664571486549
57814.36878936616,18.92608080823524
57834.40919526437,18.97560318260116
57854.45654784171,19.0334835812531
57874.51084950614,19.08851121347687
57894.57210266641,19.14074764147805
57914.64030973217,19.19321660948512
57934.71547311387,19.24888323347171
57954.79759522279,19.29865575026181
57974.88667847111,19.34003249430941
57994.98272527173,19.39840524437079
58015.08573803848,19.44505512496589
58035.19571918601,19.48938023380267
58055.31267112979,19.53721091271391
58075.43659628611,19.58787490219805
58095.56749707214,19.6377982032026
58115.70537590587,19.66566811255344
58135.85023520612,19.72150928448539
58156.00207739256,19.75844151264386
58176.16090488568,19.80477955953497
58196.32672010683,19.82423113028503
58216.4995254782,19.86731699996376
58236.67932342279,19.91183431742329
58256.86611636449,19.92984717845392
58277.05990672799,19.9712929320352
58297.26069693882,20.00226741456699
58317.46848942337,20.03287208792908
58337.68328660887,20.05558255079922
58357.90509092338,20.07952507251323
58378.1339047958,20.10461604459377
58398.3697306559,20.13561808425997
58418.61257093425,20.15626603313484
58438.86242806228,20.16873811812113
58459.11930447228,20.192695977182
58479.38320259737,20.21278673718298
58499.65412487151,20.22135180066821
58519.93207372951,20.24077226166412
58540.217051607,20.25056329034351
58560.5090609405,20.2771054391373
58580.80810416734,20.27120729893298
58601.11418372569,20.29152574152843
58621.42730205461,20.29578253765557
58641.74746159394,20.30576453333693
58662.07466478444,20.31966473275673
58682.40891406763,20.30863916258839
58702.75021188597,20.32510956965349
58723.09856068269,20.3241404129368
58743.45396290189,20.32776624024443
58763.81642098854,20.3399204777642
58784.18593738844,20.33024637508079
58804.56251454824,20.34396353514608
58824.94615491544,20.34696244919029
58845.33686093837,20.3376111952455
58865.73463506623,20.34126012886319
58886.13947974908,20.33971330885642
58906.55139743779,20.34221591735913
58926.97039058411,20.33403945711667
58947.39646164064,20.34701980230881
58967.82961306081,20.34683039737216
58988.26984729891,20.33825515199902
59008.71716681009,20.32256032186823
59029.17157405036,20.32518825735686
59049.63307147653,20.32426812186129
59070.10166154632,20.31510207324336
59090.57734671827,20.30651871442863
59111.0601294518,20.29901232951092
59131.55001220713,20.29293766036854
59152.04699744541,20.30565369654244
59172.55108762857,20.28756759173732
59193.06228521942,20.28167870970691
59213.58059268164,20.2731853223258
59234.10601247974,20.26844144170872
59254.63854707911,20.26588148525722
59275.17819894596,20.26942992419973
59295.7249705474,20.24394682535665
59316.27886435135,20.24059981908503
59336.83988282661,20.22327646897477
59357.40802844283,20.23081750530442
59377.98330367051,20.21142117193727
59398.56571098103,20.21309796997104
59419.1552528466,20.19234402845154
59439.75193174031,20.18747650121291
59460.35575013606,20.1949921529927
59480.96671050866,20.16969443813126
59501.58481533379,20.15637849797925
59522.21006708791,20.15279802505848
59542.84246824841,20.1384075613711
59563.48202129352,20.13075382083326
59584.12872870232,20.13757682153906
59604.78259295474,20.11964301284109
59625.44361653159,20.10232875107729
59646.11180191454,20.09061221653621
59666.7871515861,20.07709630612668
59687.46966802967,20.07785201968076
59708.15935372948,20.05708639437757
59728.85621117063,20.04877770585765
59749.56024283911,20.03253575525355
59770.27145122174,20.01120172827351
59790.98983880621,20.0024592742032
59811.71540808107,19.98659158993114
59832.44816153572,19.98009446692819
59853.18810166047,19.97632057861415
59873.93523094644,19.95815698016742
59894.68955188564,19.93968637155948
59915.45106697093,19.92228453421952
59936.21977869608,19.9260519791072
59956.99568955564,19.90643285038762
59977.7788020451,19.8806998166768
59998.56911866078,19.87592027841955
60019.36664189988,19.86043120070601
60040.17137426044,19.85418093188936
60060.9833182414,19.82754064816652
60081.80247634254,19.81733174541493
60102.62885106453,19.8054792990917
60123.46244490888,19.78783481955982
60144.30326037799,19.76801767651346
60165.15129997511,19.74856980806852
60186.00656620439,19.73956028695048
60206.86906157079,19.73074792521096
60227.73878858019,19.71111765405662
60248.61574973932,19.70692644549374
60269.49994755579,19.68396324961241
60290.39138453802,19.67242257929492
60311.29006319541,19.63724635700331
60332.19598603814,19.64305179775438
60353.1091555773,19.60757286985675
60374.02957432481,19.60119221859244
60394.95724479354,19.58887220705622
60415.89216949713,19.56971685945422
60436.83435095017,19.55698199552888
60457.78379166809,19.53201184616422
60478.74049416718,19.53133071497607
60499.70446096463,19.50482114611958
60520.67569457851,19.50556792351736
60541.65419752771,19.48401008547969
60562.63997233204,19.46400406863921
60583.63302151216,19.44612567818032
60604.63334758963,19.42217889694975
60625.64095308686,19.41526292100387
60646.65584052714,19.40368888670829
60667.67801243465,19.3751451695945
60688.70747133441,19.37268664948246
60709.74421975235,19.35027871490608
60730.78826021525,19.32760801056451
60751.8395952508,19.31915506702376
60772.89822738753,19.30843016182422
60793.96415915486,19.28293197532744
60815.03739308308,19.26232930828421
60836.11793170339,19.25052101823316
60857.20577754782,19.23483212236957
60878.30093314931,19.21558769019337
60899.40340104167,19.19973048546418
60920.51318375956,19.18325621146633
60941.63028383859,19.17518641681291
60962.75470381517,19.14702282398955
60983.88644622662,19.14323196024466
61005.02551361117,19.12439565446719
61026.17190850787,19.11228194892491
61047.32563345672,19.08081357796641
61068.48669099852,19.06862010464348
61089.65508367503,19.06258146912053
61110.83081402884,19.03895097521151
61132.01388460343,19.03693555345885
61153.20429794318,19.01261778019611
61174.40205659331,18.99605728065692
61195.60716309999,18.98098717668506
61216.81962001023,18.95331707897377
61238.0394298719,18.94919579975798
61259.2665952338,18.92821846039159
61280.50111864559,18.91634454459095
61301.74300265783,18.90492674383644
61322.99224982192,18.88082800123778
61344.2488626902,18.87077037262024
61365.51284381589,18.85424081505728
61386.78419575303,18.83510765348374
61408.06292105662,18.82540567993709
61429.3490222825,18.80159923166753
61450.64250198743,18.79345033408783
61471.94336272904,18.7714855004902
61493.25160706584,18.74605770398455
61514.56723755722,18.74002749488271
61535.89025676349,18.72624936405925
61557.22066724581,18.71966106681731
61578.55847156627,18.69326239032277
61599.90367228779,18.6835097751118
61621.25627197424,18.67473908442923
61642.61627319035,18.65538335640115
61663.9836785017,18.62636408984183
61685.35849047483,18.63515050802822
61706.74071167714,18.61284108689836
61728.13034467692,18.60070688339031
61749.52739204333,18.58878949657113
61770.93185634645,18.57263964773754
61792.34374015727,18.55044930435399
61813.76304604758,18.53606465021259
61835.18977659016,18.5202254694923
61856.62393435863,18.50480175842752
61878.06552192754,18.49627409104507
61899.51454187229,18.48062230171362
61920.97099676919,18.46533518371778
61942.43488919544,18.455835381078
61963.90622172917,18.4441575242477
61985.38499694933,18.42024942942808
62006.87121743583,18.41132197206122
62028.36488576945,18.3978074203563
62049.86600453186,18.38407510474862
62071.37457630563,18.37028644181991
62092.89060367421,18.36180230405633
62114.41408922198,18.34337282140077
62135.94503553419,18.33604853257769
62157.48344519699,18.30937513215058
62179.02932079743,18.30386435225534
62200.58266492344,18.29520913499542
62222.1434801639,18.27093289679124
62243.71176910852,18.26629191216204
62265.28753434793,18.25191032533207
62286.87077847371,18.23784628362561
62308.46150407824,18.22354415359697
62330.05971375487,18.2123180808792
62351.66541009785,18.20489289462848
62373.27859570229,18.18580725632113
62394.89927316423,18.1746199655955
62416.5274450806,18.16172292635567
62438.16311404922,18.15224974755406
62459.80628266884,18.13995470076326
62481.45695353907,18.12476942151036
62503.11512926047,18.12054253775511
62524.78081243443,18.10539248995951
62546.45400566332,18.09405535555182
62568.13471155037,18.08341183006293
62589.82293269972,18.06842742450352
62611.51867171642,18.05334063566963
62633.2219312064,18.04704092756542
62654.93271377652,18.04134732206305
62676.65102203454,18.01931308323
62698.37685858909,18.02810602847733
62720.11022604974,18.00516215250239
62741.851127027,17.99536874644173
62763.59956413216,17.98956986116411
62785.35553997757,17.97264186210616
62807.11905717637,17.96943217258778
62828.89011834265,17.96310995728538
62850.66872609143,17.95111180136762
62872.45488303858,17.93727500190378
62894.2485918009,17.92541501511782
62916.04985499613,17.91985220430528
62937.8586752429,17.90279032918496
62959.67505516069,17.9080516052573
62981.49899736998,17.88897730617808
63003.33050449209,17.88238151366172
63025.16957914929,17.88159142880514
63047.01622396473,17.87942098269083
63068.87044156249,17.87460177194561
63090.73223456753,17.86388063102812
63112.60160560579,17.86498844278598
