Scenario,ID_Bits,Device,Authentication_Queries,Intra_Mean,Intra_Min,Intra_Max,Verification_Rate,Identification_Rate,Combined_Authentication_Rate
Multi-sweep,128,126,5,3.0,0,6,1.0,1.0,1.0
Multi-sweep,128,127,5,3.8,0,8,1.0,1.0,1.0
Multi-sweep,128,128,5,1.8,1,2,1.0,1.0,1.0
Multi-sweep,128,129,5,3.6,1,6,1.0,1.0,1.0
Multi-sweep,128,13,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,130,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,131,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,132,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,133,5,0.2,0,1,1.0,1.0,1.0
Multi-sweep,128,134,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,135,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,136,5,0.0,0,0,1.0,1.0,1.0
Multi-sweep,128,137,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,138,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,139,5,2.0,0,3,1.0,1.0,1.0
Multi-sweep,128,14,5,0.8,0,1,1.0,1.0,1.0
Multi-sweep,128,140,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,15,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,151,5,4.0,0,7,1.0,1.0,1.0
Multi-sweep,128,152,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,153,5,4.4,3,6,1.0,1.0,1.0
Multi-sweep,128,154,5,3.4,3,4,1.0,1.0,1.0
Multi-sweep,128,155,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,156,5,2.8,0,5,1.0,1.0,1.0
Multi-sweep,128,157,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,158,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,159,5,1.4,0,3,1.0,1.0,1.0
Multi-sweep,128,16,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,160,5,2.0,0,4,1.0,1.0,1.0
Multi-sweep,128,161,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,162,5,2.2,0,5,1.0,1.0,1.0
Multi-sweep,128,163,5,2.4,0,7,1.0,1.0,1.0
Multi-sweep,128,164,5,3.0,1,6,1.0,1.0,1.0
Multi-sweep,128,165,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,166,5,2.2,1,4,1.0,1.0,1.0
Multi-sweep,128,167,5,7.0,0,18,0.8,1.0,0.8
Multi-sweep,128,168,5,3.2,2,5,1.0,1.0,1.0
Multi-sweep,128,169,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,17,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,170,5,2.2,0,4,1.0,1.0,1.0
Multi-sweep,128,171,5,1.4,0,4,1.0,1.0,1.0
Multi-sweep,128,172,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,173,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,174,5,0.6,0,2,1.0,1.0,1.0
Multi-sweep,128,175,5,1.4,0,3,1.0,1.0,1.0
Multi-sweep,128,176,5,1.8,1,3,1.0,1.0,1.0
Multi-sweep,128,177,5,4.0,3,6,1.0,1.0,1.0
Multi-sweep,128,178,5,2.0,1,4,1.0,1.0,1.0
Multi-sweep,128,179,5,2.2,0,3,1.0,1.0,1.0
Multi-sweep,128,18,5,2.8,2,4,1.0,1.0,1.0
Multi-sweep,128,180,5,1.6,0,4,1.0,1.0,1.0
Multi-sweep,128,181,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,182,5,2.0,0,5,1.0,1.0,1.0
Multi-sweep,128,183,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,184,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,185,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,186,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,187,5,6.2,3,8,1.0,1.0,1.0
Multi-sweep,128,188,5,3.0,0,6,1.0,1.0,1.0
Multi-sweep,128,189,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,19,5,1.2,0,4,1.0,1.0,1.0
Multi-sweep,128,190,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,191,5,1.6,0,4,1.0,1.0,1.0
Multi-sweep,128,192,5,1.4,0,4,1.0,1.0,1.0
Multi-sweep,128,193,5,1.4,0,7,1.0,1.0,1.0
Multi-sweep,128,194,5,2.6,2,3,1.0,1.0,1.0
Multi-sweep,128,195,5,4.2,3,7,1.0,1.0,1.0
Multi-sweep,128,196,5,2.0,1,4,1.0,1.0,1.0
Multi-sweep,128,197,5,2.0,0,6,1.0,1.0,1.0
Multi-sweep,128,198,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,199,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,2,5,2.8,0,7,1.0,1.0,1.0
Multi-sweep,128,20,5,15.4,8,42,0.8,0.8,0.8
Multi-sweep,128,200,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,202,5,6.2,3,13,1.0,1.0,1.0
Multi-sweep,128,203,5,2.4,0,7,1.0,1.0,1.0
Multi-sweep,128,204,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,205,5,0.0,0,0,1.0,1.0,1.0
Multi-sweep,128,206,5,5.2,0,13,1.0,1.0,1.0
Multi-sweep,128,207,5,2.6,0,8,1.0,1.0,1.0
Multi-sweep,128,208,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,209,5,0.4,0,1,1.0,1.0,1.0
Multi-sweep,128,21,5,21.8,10,54,0.4,0.8,0.4
Multi-sweep,128,210,5,2.6,1,4,1.0,1.0,1.0
Multi-sweep,128,211,5,0.6,0,2,1.0,1.0,1.0
Multi-sweep,128,212,5,1.2,0,5,1.0,1.0,1.0
Multi-sweep,128,213,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,214,5,0.8,0,1,1.0,1.0,1.0
Multi-sweep,128,215,5,2.0,1,3,1.0,1.0,1.0
Multi-sweep,128,216,5,2.0,0,5,1.0,1.0,1.0
Multi-sweep,128,217,5,0.4,0,1,1.0,1.0,1.0
Multi-sweep,128,218,5,2.8,1,4,1.0,1.0,1.0
Multi-sweep,128,219,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,22,5,16.2,8,43,0.8,1.0,0.8
Multi-sweep,128,220,5,1.6,1,2,1.0,1.0,1.0
Multi-sweep,128,221,5,1.6,0,6,1.0,1.0,1.0
Multi-sweep,128,222,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,223,5,0.2,0,1,1.0,1.0,1.0
Multi-sweep,128,224,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,225,5,0.8,0,1,1.0,1.0,1.0
Multi-sweep,128,226,5,3.6,1,8,1.0,1.0,1.0
Multi-sweep,128,227,5,3.0,1,9,1.0,1.0,1.0
Multi-sweep,128,228,5,2.4,0,4,1.0,1.0,1.0
Multi-sweep,128,229,5,0.4,0,2,1.0,1.0,1.0
Multi-sweep,128,23,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,230,5,1.2,0,4,1.0,1.0,1.0
Multi-sweep,128,231,5,0.6,0,2,1.0,1.0,1.0
Multi-sweep,128,232,5,3.0,1,5,1.0,1.0,1.0
Multi-sweep,128,233,5,6.0,4,10,1.0,1.0,1.0
Multi-sweep,128,234,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,235,5,8.0,5,15,0.8,1.0,0.8
Multi-sweep,128,236,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,237,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,238,5,2.2,0,6,1.0,1.0,1.0
Multi-sweep,128,239,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,24,5,2.4,0,4,1.0,1.0,1.0
Multi-sweep,128,240,5,1.8,0,6,1.0,1.0,1.0
Multi-sweep,128,241,5,1.8,1,3,1.0,1.0,1.0
Multi-sweep,128,242,5,3.8,2,7,1.0,1.0,1.0
Multi-sweep,128,243,5,2.0,1,4,1.0,1.0,1.0
Multi-sweep,128,244,5,1.0,1,1,1.0,1.0,1.0
Multi-sweep,128,245,5,1.8,0,3,1.0,1.0,1.0
Multi-sweep,128,246,5,2.6,0,4,1.0,1.0,1.0
Multi-sweep,128,247,5,1.4,0,3,1.0,1.0,1.0
Multi-sweep,128,248,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,249,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,25,5,1.0,0,4,1.0,1.0,1.0
Multi-sweep,128,250,5,2.6,0,5,1.0,1.0,1.0
Multi-sweep,128,251,5,1.6,1,4,1.0,1.0,1.0
Multi-sweep,128,252,5,1.4,0,5,1.0,1.0,1.0
Multi-sweep,128,255,5,0.2,0,1,1.0,1.0,1.0
Multi-sweep,128,256,5,1.6,0,4,1.0,1.0,1.0
Multi-sweep,128,257,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,259,5,3.2,1,7,1.0,1.0,1.0
Multi-sweep,128,26,5,2.8,1,7,1.0,1.0,1.0
Multi-sweep,128,260,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,261,5,4.0,1,7,1.0,1.0,1.0
Multi-sweep,128,262,5,2.4,0,7,1.0,1.0,1.0
Multi-sweep,128,263,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,264,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,265,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,266,5,1.6,1,3,1.0,1.0,1.0
Multi-sweep,128,267,5,2.4,1,6,1.0,1.0,1.0
Multi-sweep,128,268,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,269,5,4.2,1,12,1.0,1.0,1.0
Multi-sweep,128,27,5,2.0,1,3,1.0,1.0,1.0
Multi-sweep,128,270,5,2.0,1,3,1.0,1.0,1.0
Multi-sweep,128,271,5,2.8,1,9,1.0,1.0,1.0
Multi-sweep,128,272,5,3.2,1,6,1.0,1.0,1.0
Multi-sweep,128,273,5,1.8,0,3,1.0,1.0,1.0
Multi-sweep,128,274,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,275,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,276,5,3.0,1,6,1.0,1.0,1.0
Multi-sweep,128,277,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,278,5,3.2,1,5,1.0,1.0,1.0
Multi-sweep,128,279,5,4.4,1,7,1.0,1.0,1.0
Multi-sweep,128,28,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,280,5,1.8,0,6,1.0,1.0,1.0
Multi-sweep,128,281,5,1.2,0,3,1.0,1.0,1.0
