Method,ID_Bits,Bits_Per_Feature,Fold,Enrollment_Index,Authentication_Index,Devices,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,Fixed_Threshold_Normalized,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Active_Bit_Count,Constant_Bit_Count,Active_Bit_Fraction,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation
PQM,12,4,enroll_1_test_2,1,2,295,0.003693200007546693,0.08585423771765525,86730,0.5220338983050847,0.04350282485875706,0.8483813713348194,0,0.0,0.0,3.0,4,295,3.8599792459356626,0.32166493716130523,1.7113726822353579,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21279833967485298,0.0576271186440678,0.10694684653522427,1,0.10694684653522427,1,0.21389369307044853,36,0.8779661016949153,4.943119002901769,8,4,0.6666666666666666,0.2098870056497175,0.18001691186103222
PQM,12,4,enroll_1_test_3,1,3,295,0.0037379999994300306,0.040185083122134715,86730,0.5084745762711864,0.0423728813559322,0.7731216288029097,0,0.0,0.0,2.0,4,295,3.873354087397671,0.32277950728313926,1.7141439932864118,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21188746685114723,0.04067796610169491,0.08755909143318344,1,0.08755909143318344,1,0.17511818286636688,36,0.8779661016949153,4.943119002901769,8,4,0.6666666666666666,0.2098870056497175,0.18001691186103222
PQM,12,4,enroll_1_test_4,1,4,295,0.0036643999628722668,0.04481559449617388,86730,0.576271186440678,0.0480225988700565,0.8572101130460672,0,0.0,0.0,2.3000000000000114,4,295,3.8703101579614896,0.3225258464967908,1.7135396038263297,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21251008878127522,0.05084745762711865,0.1035281909373919,1,0.1035281909373919,1,0.2070563818747838,36,0.8779661016949153,4.943119002901769,8,4,0.6666666666666666,0.2098870056497175,0.18001691186103222
PQM,12,4,enroll_1_test_5,1,5,295,0.008669100003316998,0.03872338812640411,86730,0.6067796610169491,0.050564971751412426,0.8658023699451312,0,0.0,0.0,2.0,5,295,3.8740228294707713,0.32283523578923096,1.7168145219934163,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21179522656520236,0.04745762711864407,0.10487720511933588,1,0.10487720511933588,1,0.20975441023867175,36,0.8779661016949153,4.943119002901769,8,4,0.6666666666666666,0.2098870056497175,0.18001691186103222
PQM,12,4,enroll_2_test_1,2,1,295,0.006585900031495839,0.03909932042992974,86730,0.49491525423728816,0.04124293785310735,0.864536313298299,0,0.0,0.0,3.0,4,295,3.8602098466505246,0.32168415388754373,1.7079182969608764,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.2115415657788539,0.06440677966101695,0.10174680041508129,1,0.10174680041508129,1,0.20349360083016257,35,0.8813559322033898,4.833077850249076,8,4,0.6666666666666666,0.21186440677966098,0.19532216825006796
PQM,12,4,enroll_2_test_3,2,3,295,0.0051259000319987535,0.03565457408805772,86730,0.44745762711864406,0.03728813559322034,0.878572576887246,0,0.0,0.0,3.0,4,295,3.868165571313271,0.3223471309427726,1.7209232769540426,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21212959760175257,0.06779661016949153,0.11103424420615704,1,0.11103424420615704,1,0.22206848841231408,35,0.8813559322033898,4.833077850249076,8,4,0.6666666666666666,0.21186440677966098,0.19532216825006796
PQM,12,4,enroll_2_test_4,2,4,295,0.0036404000129550695,0.03834135743584168,86730,0.5050847457627119,0.042090395480225994,0.868461719421098,0,0.0,0.0,3.0,4,295,3.8651908220915483,0.3220992351742957,1.7256911050859514,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21304047042545832,0.061016949152542375,0.11423959414274185,1,0.11423959414274185,1,0.2284791882854837,35,0.8813559322033898,4.833077850249076,8,4,0.6666666666666666,0.21186440677966098,0.19532216825006796
PQM,12,4,enroll_2_test_5,2,5,295,0.004206900019198656,0.04297559291629468,86730,0.4847457627118644,0.040395480225988704,0.8525299602376051,0,0.0,0.0,3.0,4,295,3.868557592528537,0.3223797993773781,1.7279271015691882,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21214112763749568,0.05423728813559322,0.10871670702179177,1,0.10871670702179177,1,0.21743341404358354,35,0.8813559322033898,4.833077850249076,8,4,0.6666666666666666,0.21186440677966098,0.19532216825006796
PQM,12,4,enroll_3_test_1,3,1,295,0.008781899989116937,0.047325426752095,86730,0.46779661016949153,0.03898305084745763,0.7768856099895776,0,0.0,0.0,2.0,4,295,3.8738383488988815,0.3228198624082401,1.7097412943989947,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.2100426611322495,0.03728813559322034,0.08697682462815635,1,0.08697682462815635,1,0.1739536492563127,35,0.8813559322033898,4.878855037032158,8,4,0.6666666666666666,0.20790960451977403,0.18565066387361281
PQM,12,4,enroll_3_test_2,3,2,295,0.004362199979368597,0.061082033937702236,86730,0.43389830508474575,0.03615819209039548,0.8968217065261285,0,0.0,0.0,3.0,4,295,3.8684192320996194,0.3223682693416349,1.7205406486904642,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.2111034244206157,0.0711864406779661,0.1108324685806526,1,0.1108324685806526,1,0.2216649371613052,35,0.8813559322033898,4.878855037032158,8,4,0.6666666666666666,0.20790960451977403,0.18565066387361281
PQM,12,4,enroll_3_test_4,3,4,295,0.004149799991864711,0.05920203146130099,86730,0.29152542372881357,0.024293785310734464,0.7021076471318051,0,0.0,0.0,2.0,3,295,3.8789576847688227,0.32324647373073523,1.7213878338736737,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21082670356278105,0.04406779661016949,0.08516660901648795,1,0.08516660901648795,1,0.1703332180329759,35,0.8813559322033898,4.878855037032158,8,4,0.6666666666666666,0.20790960451977403,0.18565066387361281
PQM,12,4,enroll_3_test_5,3,5,295,0.00364469998748973,0.05116847489755285,86730,0.28135593220338984,0.02344632768361582,0.6589195898913467,0,0.0,0.0,1.0,4,295,3.8819554940620318,0.323496291171836,1.7232227022495823,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.20963910988124063,0.030508474576271188,0.07992044275337254,1,0.07992044275337254,1,0.15984088550674508,35,0.8813559322033898,4.878855037032158,8,4,0.6666666666666666,0.20790960451977403,0.18565066387361281
PQM,12,4,enroll_4_test_1,4,1,295,0.006527099991217256,0.04857898634558512,86730,0.5661016949152542,0.04717514124293785,0.8737693326993258,0,0.0,0.0,2.0,4,295,3.870679119105269,0.32255659325877245,1.7098761577949146,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.2098351204888735,0.04745762711864407,0.10260002306007149,1,0.10260002306007149,1,0.20520004612014298,35,0.8813559322033898,4.839159074086625,8,4,0.6666666666666666,0.20875706214689269,0.19067937749817704
PQM,12,4,enroll_4_test_2,4,2,295,0.004249799996614456,0.04599050883109034,86730,0.511864406779661,0.04265536723163842,0.880067395719058,0,0.0,0.0,3.0,4,295,3.8654214228064108,0.32211845190053423,1.7249873609570838,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21124178484953304,0.06779661016949153,0.11132826011760635,1,0.11132826011760635,1,0.22265652023521273,35,0.8813559322033898,4.839159074086625,8,4,0.6666666666666666,0.20875706214689269,0.19067937749817704
PQM,12,4,enroll_4_test_3,4,3,295,0.005973299965262413,0.04071084786427476,86730,0.30847457627118646,0.02570621468926554,0.7117307007132895,0,0.0,0.0,2.0,4,295,3.8789346246973366,0.32324455205811137,1.724431194634297,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21007725123947885,0.04067796610169491,0.08471693762250664,1,0.08471693762250664,1,0.16943387524501327,35,0.8813559322033898,4.839159074086625,8,4,0.6666666666666666,0.20875706214689269,0.19067937749817704
PQM,12,4,enroll_4_test_5,4,5,295,0.005762199987657368,0.04442169634877878,86730,0.28135593220338984,0.02344632768361582,0.6891961640006369,0,0.0,0.0,2.0,4,295,3.8793727660555746,0.32328106383796457,1.7254645439367522,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.20986971059610285,0.03389830508474576,0.08695376455667013,1,0.08695376455667013,1,0.17390752911334026,35,0.8813559322033898,4.839159074086625,8,4,0.6666666666666666,0.20875706214689269,0.19067937749817704
PQM,12,4,enroll_5_test_1,5,1,295,0.0037378999986685812,0.06252881317099525,86730,0.5694915254237288,0.04745762711864407,0.8812588084739756,0,0.0,0.0,2.3000000000000114,5,295,3.8746454514008994,0.32288712095007494,1.7111825339890696,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.20956992966678198,0.05084745762711865,0.10590337830047274,1,0.10590337830047274,1,0.21180675660094547,36,0.8779661016949153,4.8887376248128165,8,4,0.6666666666666666,0.20819209039548023,0.18555029430893402
PQM,12,4,enroll_5_test_2,5,2,295,0.006723199971020222,0.046245764222753755,86730,0.46440677966101696,0.038700564971751415,0.8598692179992975,0,0.0,0.0,3.0,4,295,3.8691340943156924,0.32242784119297435,1.7225106663410525,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.2109074138129828,0.061016949152542375,0.10918367346938776,1,0.10918367346938776,1,0.21836734693877552,36,0.8779661016949153,4.8887376248128165,8,4,0.6666666666666666,0.20819209039548023,0.18555029430893402
PQM,12,4,enroll_5_test_3,5,3,295,0.004659099970012903,0.05600881186645415,86730,0.29152542372881357,0.024293785310734464,0.6774522438657816,0,0.0,0.0,1.0,4,295,3.882416695491756,0.323534724624313,1.7234950904571318,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21000807102502017,0.030508474576271188,0.07929782082324455,1,0.07929782082324455,1,0.1585956416464891,36,0.8779661016949153,4.8887376248128165,8,4,0.6666666666666666,0.20819209039548023,0.18555029430893402
